id_client,currency,amount,date_transaction
ddde0104,EUR,1082.33,2023-11-24 04:03:12
eeef0105,USD,2556.1,2023-01-13 10:00:48
cccf0103,GBP,1975.51,2023-05-06 08:07:36
eeef0105,JPY,2845.4,2023-03-13 03:43:54
eeef0105,JPY,2602.38,2023-12-13 19:51:22
bbbd0102,GBP,1218.07,2023-02-14 21:29:57
cccf0103,USD,2829.8,2023-08-05 01:09:25
cccf0103,JPY,1610.43,2023-01-16 03:24:40
cccf0103,EUR,2695.62,2023-04-22 08:28:15
eeef0105,GBP,2252.68,2023-09-16 21:55:07
ddde0104,JPY,2053.53,2023-01-14 20:26:03
cccf0103,JPY,2668.32,2023-04-12 23:39:41
eeef0105,BRL,2992.44,2023-12-26 19:50:26
bbbd0102,USD,2609.37,2023-08-03 08:01:33
ddde0104,GBP,2429.6,2023-08-18 21:27:16
bbbd0102,JPY,2813.94,2023-05-23 00:14:11
ddde0104,GBP,1485.15,2023-03-23 15:23:12
eeef0105,EUR,1182.88,2023-06-24 10:07:01
ased0101,BRL,2388.28,2023-03-21 07:50:21
ddde0104,USD,2684.01,2023-06-22 03:43:16
bbbd0102,USD,1787.25,2023-02-17 13:49:57
eeef0105,EUR,1396.1,2023-02-19 13:04:12
ddde0104,JPY,1145.6,2023-06-26 21:58:51
ased0101,BRL,2249.82,2023-05-16 01:34:55
ased0101,USD,1450.67,2023-08-24 19:31:24
cccf0103,GBP,2309.62,2023-03-05 13:46:55
cccf0103,EUR,2587.53,2023-02-10 20:05:57
bbbd0102,USD,1074.6,2023-05-31 22:53:17
ddde0104,JPY,2623.85,2023-11-13 13:10:00
ddde0104,BRL,2365.09,2023-10-23 07:00:03
cccf0103,USD,2591.68,2023-12-27 02:31:56
ddde0104,JPY,1712.81,2023-01-24 08:17:51
ddde0104,JPY,2876.36,2023-05-29 02:54:18
ased0101,EUR,2737.55,2023-04-30 03:40:38
cccf0103,JPY,1967.31,2023-07-14 10:07:14
eeef0105,EUR,2194.77,2023-08-21 23:08:40
cccf0103,GBP,2163.53,2023-07-06 05:55:19
eeef0105,EUR,2983.82,2023-07-09 12:56:06
ased0101,USD,2783.01,2023-04-18 09:43:13
bbbd0102,EUR,2319.16,2023-12-26 23:35:39
ddde0104,BRL,1888.29,2023-02-06 22:10:40
ased0101,GBP,2320.39,2023-11-22 06:13:51
ddde0104,EUR,1385.78,2023-10-01 08:54:47
bbbd0102,GBP,2001.04,2023-03-25 16:49:49
bbbd0102,EUR,1118.93,2023-07-14 09:49:42
ased0101,JPY,1371.12,2023-11-24 20:16:40
bbbd0102,JPY,2150.88,2023-04-23 11:48:24
eeef0105,USD,2391.39,2023-01-29 08:20:21
bbbd0102,JPY,2052.73,2023-01-17 11:29:07
ddde0104,BRL,1077.31,2023-07-25 09:44:53
ddde0104,JPY,1701.15,2023-02-03 07:40:53
ddde0104,BRL,2040.6,2023-10-18 11:27:25
ddde0104,EUR,2719.74,2023-04-19 23:51:49
eeef0105,EUR,2649.84,2023-09-13 14:24:16
cccf0103,BRL,1363.67,2023-11-26 16:42:22
ased0101,USD,2666.18,2023-03-15 09:38:38
ddde0104,JPY,1946.16,2023-03-13 08:58:45
bbbd0102,BRL,2675.05,2023-10-15 19:37:24
ddde0104,JPY,2260.19,2023-05-15 21:17:02
bbbd0102,GBP,1757.19,2023-08-08 21:14:44
bbbd0102,USD,1307.6,2023-07-24 13:10:47
ddde0104,EUR,1169.6,2023-04-23 05:02:11
eeef0105,BRL,1878.4,2023-09-18 17:58:06
bbbd0102,GBP,1412.4,2023-02-16 01:42:55
bbbd0102,BRL,1569.39,2023-02-26 05:33:53
ddde0104,BRL,2890.48,2023-11-18 05:49:29
bbbd0102,BRL,2014.26,2023-12-15 15:22:13
bbbd0102,BRL,1381.05,2023-11-02 02:18:46
ddde0104,EUR,1135.39,2023-07-17 13:53:39
ddde0104,EUR,2576.24,2023-11-02 17:02:28
ased0101,EUR,2165.94,2023-09-28 09:09:13
eeef0105,USD,2165.07,2023-10-11 00:25:04
eeef0105,EUR,1850.02,2023-12-15 04:10:14
bbbd0102,JPY,1332.32,2023-12-16 19:33:01
eeef0105,EUR,2353.51,2023-05-17 23:20:12
bbbd0102,BRL,2366.12,2023-06-24 04:03:41
ased0101,BRL,1295.83,2023-05-31 15:49:45
ddde0104,JPY,1487.43,2023-03-22 16:31:10
ddde0104,GBP,1111.15,2023-01-02 09:35:22
ddde0104,BRL,2201.73,2023-09-14 06:30:16
eeef0105,BRL,2143.81,2023-09-17 03:52:27
ased0101,EUR,2376.46,2023-11-17 10:51:57
